Title,Location,Price,Size,Size_unit,Listing_Type
room for rent,Azaiba,8 OMR,140.0,Sq. M.,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,1.0,Sq. M.,For Rent
مكاتب للإيجار في سكوير الخوض السيب Office for Rent in SQUare Al Khoud Al Seeb,Al Khoud,140 OMR,100.0,Sq. M.,For Rent
400 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,100 OMR,400.0,Sq. M.,For Rent
211 m2 Studio Apartments for Rent in Muscat Al Maabilah,Al Maabilah,10 OMR,211.0,Sq. M.,For Rent
22 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,Al-Hail,11 OMR,22.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,10 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Khoud,Al Khoud,6 OMR,140.0,Sq. M.,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,450 OMR,110.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,50 OMR,300.0,Sq. M.,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,280 OMR,110.0,Sq. M.,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,450 OMR,110.0,Sq. M.,For Rent
115 m2 2 Bedrooms Apartments for Rent in Muscat Muscat Hills,Muscat Hills,750 OMR,115.0,Sq. M.,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,25 OMR,300.0,Sq. M.,For Rent
مكاتب للإيجار في بوشر,Bosher,500 OMR,82.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,17 OMR,140.0,Sq. M.,For Rent
500 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,Salala,1 OMR,500.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,100.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al-Hail,Al-Hail,140 OMR,140.0,Sq. M.,For Rent
hotel apartments for rent in saruj water front,Qurm,12 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Mawaleh,Al Mawaleh,12 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Maabilah,Al Maabilah,8 OMR,140.0,Sq. M.,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,200.0,Sq. M.,For Rent
Semi Furnished Monthly in,Muscat Ansab,100 OMR,140.0,Sq. M.,For Rent
Semi Furnished Monthly in Muscat Al Maabilah,Al Maabilah,85 OMR,140.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Mawaleh,Al Mawaleh,120 OMR,140.0,Sq. M.,For Rent
"Private office space for 3 persons in MUSCAT, Al Wattayah",Other,347 OMR,15.0,Sq. M.,For Rent
"Private office space for 1 person in MUSCAT, Hormuz Grand",Muttrah,225 OMR,8.0,Sq. M.,For Rent
"Private office space for 3 persons in MUSCAT, Shatti Al Qurum",Other,423 OMR,15.0,Sq. M.,For Rent
"Private office space for 1 person in MUSCAT, Al Mawaleh",Al Mawaleh,189 OMR,8.0,Sq. M.,For Rent
500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,500.0,Sq. M.,For Rent
مبنى جديد معرض دورين للايجار جنب صالة عمانتل,Liwa,Chat,1100.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,1 OMR,100.0,Sq. M.,For Rent
130 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,80 OMR,130.0,Sq. M.,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,Al Khoud,250 OMR,65.0,Sq. M.,For Rent
20 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,Al-Hail,160 OMR,20.0,Sq. M.,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,90.0,Sq. M.,For Rent
80 m2 Studio Apartments for Rent in Dhofar Salala,Salala,20 OMR,80.0,Sq. M.,For Rent
قاعة للإيجار اليومي – مثالية للإعلانات والفعاليات!  Spacious Hall for Daily Rent,Halban,150 OMR,600.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,350 OMR,100.0,Sq. M.,For Rent
180 m2 3 Bedrooms Townhouse for Rent in Muscat Seeb,Seeb,280 OMR,180.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,40 OMR,140.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khoud,Al Khoud,6 OMR,140.0,Sq. M.,For Rent
Furnished Monthly in Muscat Azaiba,Azaiba,160 OMR,140.0,Sq. M.,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,350 OMR,400.0,Sq. M.,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Sidab,Sidab,140 OMR,80.0,Sq. M.,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,220 OMR,130.0,Sq. M.,For Rent
135 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,80 OMR,135.0,Sq. M.,For Rent
More than 6 bedrooms Chalet for Rent in Dhofar Salala,Salala,140 OMR,600.0,Sq. M.,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,1.0,Sq. M.,For Rent
محلات للإيجار في السيح الأحمر,Bidbid,80 OMR,360.0,Sq. M.,For Rent
Homran House,Salala,45 OMR,140.0,Sq. M.,For Rent
89 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,Al Khoud,300 OMR,89.0,Sq. M.,For Rent
80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,80.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,20 OMR,140.0,Sq. M.,For Rent
From Owner direct fully furnished flat for rent من المالك شقة مفروشة بالكامل للإيجار مسقط هيلز,Muscat Hills,550 OMR,118.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,55 OMR,800.0,Sq. M.,For Rent
Furnished Daily in Muscat Ansab,Ansab,10 OMR,140.0,Sq. M.,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Amerat,Amerat,9 OMR,70.0,Sq. M.,For Rent
5 Bedrooms Chalet for Rent in Dhofar Mirbat,Mirbat,85 OMR,607.0,Sq. M.,For Rent
145 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,Ghubrah,410 OMR,145.0,Sq. M.,For Rent
Office for Rent in Avenues Mall Ghoubra مكتب للإيجار في أفنيوز مول الغبرة,Ghubrah,150 OMR,100.0,Sq. M.,For Rent
Office Space for Rent at Al Hail مكتب للإيجار في الحيل الشمالية,Al Maabilah,290 OMR,91.0,Sq. M.,For Rent
مكتب  للايجار في موقع مميز العاصمه مسقط خط الشارع السلطان قابوس مقابل ايكيا,Ghubrah,675 OMR,157.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Maabilah,Al Maabilah,20 OMR,140.0,Sq. M.,For Rent
200 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Other,Other,20 OMR,200.0,Sq. M.,For Rent
FLAT FOR RENT,Al Khuwair,230 OMR,140.0,Sq. M.,For Rent
Flat for rent (inclusive of bills),Al Maabilah,175 OMR,90.0,Sq. M.,For Rent
Townhouse for rent in Shatti al Qurm.,Qurm,750 OMR,285.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,1 OMR,120.0,Sq. M.,For Rent
Furnished Daily in Al Dakhiliya Nizwa,Nizwa,7 OMR,140.0,Sq. M.,For Rent
12 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,Al Maabilah,7 OMR,12.0,Sq. M.,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,90.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Bosher,Bosher,100 OMR,140.0,Sq. M.,For Rent
100 m2 3 Bedrooms Apartments for Rent in Dhofar Other,Other,48 OMR,100.0,Sq. M.,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,80 OMR,300.0,Sq. M.,For Rent
20 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,Al-Hail,180 OMR,20.0,Sq. M.,For Rent
624 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,Salala,170 OMR,624.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Muscat Al Maabilah,Al Maabilah,40 OMR,125.0,Sq. M.,For Rent
36 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,28 OMR,36.0,Sq. M.,For Rent
300 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,17 OMR,300.0,Sq. M.,For Rent
200 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,200.0,Sq. M.,For Rent
محل للإيجار في مرتفعات الأنصب - موقع مميز,Ansab,350 OMR,33.0,Sq. M.,For Rent
100 m2 Studio Apartments for Rent in Dhofar Salala,Salala,30 OMR,100.0,Sq. M.,For Rent
محل للإيجار في الخوض - شارع البركات,Al Khoud,350 OMR,33.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Maabilah,Al Maabilah,7 OMR,140.0,Sq. M.,For Rent
محلات جديده في المعبيلة سيد فياض بلازا Shop Spaces for Rent in Syed Fayyaz Plaza Mabella,Al Maabilah,250 OMR,28.0,Sq. M.,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,170 OMR,100.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,1 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,45 OMR,140.0,Sq. M.,For Rent
60 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,65 OMR,60.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,45 OMR,140.0,Sq. M.,For Rent
95 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,Al-Hail,290 OMR,95.0,Sq. M.,For Rent
Furnished Daily in Muscat Ansab,Ansab,7 OMR,140.0,Sq. M.,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,300.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khoud,Al Khoud,100 OMR,140.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khoud,Al Khoud,100 OMR,140.0,Sq. M.,For Rent
350 m2 5 Bedrooms Villa for Rent in Dhofar Salala,Salala,140 OMR,350.0,Sq. M.,For Rent
Furnished Monthly in Muscat Ghubrah,Ghubrah,165 OMR,140.0,Sq. M.,For Rent
Unfurnished Yearly in Muscat Al Maabilah,Al Maabilah,115 OMR,140.0,Sq. M.,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,220 OMR,130.0,Sq. M.,For Rent
Unfurnished Yearly in Muscat Al Khoud,Al Khoud,100 OMR,140.0,Sq. M.,For Rent
Modern 4-Bedroom+Maidroom Villa opposite almouj,Al Mawaleh,590 OMR,420.0,Sq. M.,For Rent
فرصة للبيع أو الاستثمار: صالون نسائي في الحيل الجنوبية,Al-Hail,900 OMR,40.0,Sq. M.,For Rent
160 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,400 OMR,160.0,Sq. M.,For Rent
Fully Furnished Duplex Villa For Daily Rent,Salala,Chat,2500.0,Sq. M.,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,55 OMR,200.0,Sq. M.,For Rent
Fully Furnished One Bedroom Apartment  Gala Heights,Ghala,390 OMR,65.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,55 OMR,140.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,Al Masnaah,55 OMR,250.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khoud,Al Khoud,140 OMR,140.0,Sq. M.,For Rent
60 m2 Studio Apartments for Rent in Dhofar Salala,Salala,20 OMR,60.0,Sq. M.,For Rent
55555 ft² Studio Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,15 OMR,140.0,Sq. M.,For Rent
Room for rent عرفة للإيجار,Al Maabilah,100 OMR,140.0,Sq. M.,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,80.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,30 OMR,140.0,Sq. M.,For Rent
80 m2 Studio Apartments for Rent in Muscat Muttrah,Muttrah,250 OMR,80.0,Sq. M.,For Rent
30 m2 Studio Apartments for Rent in Al Batinah Sohar,Sohar,15 OMR,30.0,Sq. M.,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,Al Khoud,17 OMR,100.0,Sq. M.,For Rent
Semi Furnished Monthly in,Muscat Al Khoud,100 OMR,140.0,Sq. M.,For Rent
للإيجار – مساحة تخزين 400 م2 في المعبيلة السابعة,Al Maabilah,"1,000 OMR",400.0,Sq. M.,For Rent
Furnished Monthly in,Muscat Al Mawaleh,120 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,1 OMR,140.0,Sq. M.,For Rent
3BR Penthouse Finaa Alfardan in Prime Location price is negotiable - 1 Month Free,Azaiba,"1,050 OMR",220.0,Sq. M.,For Rent
450 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,15 OMR,450.0,Sq. M.,For Rent
Steel structure Storage for rent مخزن/ورشة للاجار في منطقة المسفاة,Misfah,"1,700 OMR",1080.0,Sq. M.,For Rent
Unfurnished Yearly in Muscat Al Mawaleh,Al Mawaleh,110 OMR,140.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al-Hail,Al-Hail,115 OMR,140.0,Sq. M.,For Rent
605 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,Salala,140 OMR,605.0,Sq. M.,For Rent
10 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,12 OMR,10.0,Sq. M.,For Rent
280 m2 5 Bedrooms Villa for Rent in Dhofar Salala,Salala,170 OMR,280.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,12 OMR,140.0,Sq. M.,For Rent
50 m2 Studio Apartments for Rent in Muscat Bosher,Bosher,220 OMR,50.0,Sq. M.,For Rent
furnished offices in Bousher مكتب مؤثث في بوشر,Bosher,350 OMR,70.0,Sq. M.,For Rent
محل للإيجار بمساحة  96 متر مربع في الخوير 33 - على شارع المها بموقع حيوي وسهل الوصول,Al Khuwair,"1,100 OMR",95.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,200 OMR,100.0,Sq. M.,For Rent
محل كورنر للايجار في الخوض 7  منطقة حيويةخلف مركز العامري، قريبة من مركز السيب التخصصي ومن البيوت,Al Khoud,300 OMR,35.0,Sq. M.,For Rent
420 m2 5 Bedrooms Villa for Rent in Muscat Azaiba,Azaiba,350 OMR,420.0,Sq. M.,For Rent
Furnished Yearly in Muscat Al Mawaleh,Al Mawaleh,70 OMR,140.0,Sq. M.,For Rent
98 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,1 OMR,98.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khuwair,Al Khuwair,100 OMR,140.0,Sq. M.,For Rent
1800 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,20 OMR,1800.0,Sq. M.,For Rent
Furnished Daily in Al Dakhiliya Nizwa,Nizwa,12 OMR,140.0,Sq. M.,For Rent
15 m2 1 Bedroom Apartments for Rent in Muscat Bosher,Bosher,10 OMR,15.0,Sq. M.,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,Al Khuwair,250 OMR,65.0,Sq. M.,For Rent
1600 m2 Studio Townhouse for Rent in Dhofar Salala,Salala,1 OMR,1600.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,Salala,100 OMR,400.0,Sq. M.,For Rent
80 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,Al Khuwair,250 OMR,80.0,Sq. M.,For Rent
مركز الأعمال,Al Khuwair,200 OMR,200.0,Sq. M.,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,75 OMR,300.0,Sq. M.,For Rent
270 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,80 OMR,270.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,Nizwa,45 OMR,130.0,Sq. M.,For Rent
Studio Chalet for Rent in Al Batinah Barka,Barka,55 OMR,150.0,Sq. M.,For Rent
للايجار مكتب في غلا المرحله الاولى 250 متر جنب فندق سنتارا,Ghala,900 OMR,250.0,Sq. M.,For Rent
570 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,Salala,160 OMR,570.0,Sq. M.,For Rent
Unfurnished Yearly in Muscat Al Khoud,Al Khoud,90 OMR,140.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,Al Masnaah,50 OMR,280.0,Sq. M.,For Rent
مكاتب للإيجار بالحوض السابعة قريب المحكمة,Al Khoud,230 OMR,100.0,Sq. M.,For Rent
للإيجار – مكاتب ذكية في موقع استراتيجي بمسقط قريب مبنى وزارة الاقتصاد (مساحات تصل الى 850 متر ),Ghala,420 OMR,74.0,Sq. M.,For Rent
"Townhouse  in Hawana, Salalah دوبلكس تاونهاوس غرفة نوم وصالة وغرفة زجاجية في هوانا ، صلالة",Salala,79 OMR,90.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,100.0,Sq. M.,For Rent
Industrial Land for Rent in Muscat Misfah,Misfah,800 OMR,140.0,Sq. M.,For Rent
ورشة في صناعية الوادي الكبير workshop in wadi kabir,Wadi Al Kabir,280 OMR,200.0,Sq. M.,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,Taqah,30 OMR,250.0,Sq. M.,For Rent
200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,15 OMR,200.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,100.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,40 OMR,1000.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khuwair,Al Khuwair,45 OMR,140.0,Sq. M.,For Rent
محلات جديدة للإيجار في روي شارع هوندا ولجه بجانب الإشارات,Ruwi,200 OMR,60.0,Sq. M.,For Rent
Unfurnished Yearly in Muscat Al Khuwair,Al Khuwair,100 OMR,140.0,Sq. M.,For Rent
مكتب للإيجار في شارع 18 نوفمبر,Azaiba,550 OMR,86.0,Sq. M.,For Rent
للايجار مكتب بزنس سنتر Business center,Ghala,170 OMR,15.0,Sq. M.,For Rent
160 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,160.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,Al Mawaleh,100 OMR,140.0,Sq. M.,For Rent
غرف مفروشہ لاجار ال,Al Maabilah,7 OMR,7.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,60 OMR,185.0,Sq. M.,For Rent
50 m2 Studio Apartments for Rent in Muscat Al Khuwair,Al Khuwair,120 OMR,50.0,Sq. M.,For Rent
Special offer for the fully furnished office space,Al Khuwair,170 OMR,8.0,Sq. M.,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Bosher,Bosher,250 OMR,70.0,Sq. M.,For Rent
50 m2 Studio Apartments for Rent in Muscat Ruwi,Ruwi,100 OMR,50.0,Sq. M.,For Rent
More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,Suwaiq,70 OMR,5000.0,Sq. M.,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,100 OMR,100.0,Sq. M.,For Rent
4 Bedrooms Chalet for Rent in Muscat Seeb,Seeb,70 OMR,300.0,Sq. M.,For Rent
9 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,Sohar,10 OMR,9.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,110 OMR,496.0,Sq. M.,For Rent
مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),Salala,100 OMR,30.0,Sq. M.,For Rent
مكتبي الوطيه,Al-Wuttayah,180 OMR,8.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,Salala,60 OMR,600.0,Sq. M.,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,Salala,"2,500 OMR",300.0,Sq. M.,For Rent
Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,Al-Hail,"1,000 OMR",101.0,Sq. M.,For Rent
عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,Amerat,50 OMR,50.0,Sq. M.,For Rent
Large Commercial shop for rent Mawaleh near Muzn Mall.,Al Mawaleh,"1,000 OMR",170.0,Sq. M.,For Rent
7000 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,7000.0,Sq. M.,For Rent
113 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,Amerat,120 OMR,113.0,Sq. M.,For Rent
"محلات + شقة  بروي خلف شارع هوندا  Shops + apartment for rent in Ruwi Al Walaja, behind Honda Stree",Ruwi,120 OMR,9.0,Sq. M.,For Rent
2000 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,Salala,70 OMR,2000.0,Sq. M.,For Rent
150 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Other,Other,30 OMR,150.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,Ghubrah,320 OMR,100.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khoud,Al Khoud,10 OMR,140.0,Sq. M.,For Rent
1600 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,Sohar,130 OMR,1600.0,Sq. M.,For Rent
مكاتب متعددة المساحات للإيجار في مسقط هيلز - تمليك حر للأجانب في حالة الشراء,Muscat Hills,850 OMR,105.0,Sq. M.,For Rent
85 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,Seeb,200 OMR,85.0,Sq. M.,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,Seeb,340 OMR,110.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Khuwair,Al Khuwair,8 OMR,140.0,Sq. M.,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,600.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Mawaleh,Al Mawaleh,7 OMR,140.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,18 OMR,120.0,Sq. M.,For Rent
"A wonderful furnished apartment for rent in Al Qurum, including internet",Qurm,430 OMR,120.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Maabilah,Al Maabilah,45 OMR,140.0,Sq. M.,For Rent
2 BHK apartment in Falaj شقه غرفتين وصاله في فلج القبائل,Sohar,100 OMR,1.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Maabilah,Al Maabilah,100 OMR,140.0,Sq. M.,For Rent
150 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,19 OMR,150.0,Sq. M.,For Rent
70 m2 Studio Apartments for Rent in Dhofar Salala,Salala,20 OMR,70.0,Sq. M.,For Rent
Bousher Al Maha Luxury Apartment 2+1 bedroom fully furnished شقه سوبر لوكس غرفتين وصاله و غرفة عامله,Bosher,400 OMR,100.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,25 OMR,400.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Khuwair,Al Khuwair,8 OMR,140.0,Sq. M.,For Rent
22000 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Other,Other,33 OMR,22000.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,Azaiba,350 OMR,100.0,Sq. M.,For Rent
90 m2 Studio Apartments for Rent in Muscat Muscat Hills,Muscat Hills,300 OMR,90.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,60 OMR,1200.0,Sq. M.,For Rent
Warehouse / Store for rent مخزن / مستودع للايجاد,Other,"2,000 OMR",1000.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,140 OMR,600.0,Sq. M.,For Rent
Studio Chalet for Rent in Muscat Halban,Halban,50 OMR,68.0,Sq. M.,For Rent
150 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,20 OMR,150.0,Sq. M.,For Rent
500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Taqah,Taqah,40 OMR,500.0,Sq. M.,For Rent
330 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,1 OMR,330.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Muscat Al-Sifah,Al-Sifah,99 OMR,145.0,Sq. M.,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,1 OMR,300.0,Sq. M.,For Rent
"محل تجاري للإيجار مسقط بوشر - Commercial shop for rent in Muscat, Bousher",Bosher,150 OMR,1300.0,Sq. M.,For Rent
"معرض للإيجار صحار شارع الملتقي - Showroom for rent, Sohar, Al-Multaqa Street",Sohar,"1,000 OMR",1400.0,Sq. M.,For Rent
1400 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,Sohar,120 OMR,1400.0,Sq. M.,For Rent
Furnished Yearly in Muscat Al Maabilah,Al Maabilah,95 OMR,140.0,Sq. M.,For Rent
150 m2 4 Bedrooms Villa for Rent in Dhofar Salala,Salala,65 OMR,150.0,Sq. M.,For Rent
شقة للايجار مبني جديد بركاء /الجنينة,Barka,10 OMR,80.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Mawaleh,Al Mawaleh,75 OMR,140.0,Sq. M.,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,15 OMR,100.0,Sq. M.,For Rent
مخزن للإيجار بصحار- مخزن تبريد - Wearhouse for Rent in Sohar- cold store,Sohar,11 OMR,5000.0,Sq. M.,For Rent
محل للايجار فى بركاء الصناعيه,Al Maabilah,60 OMR,20.0,Sq. M.,For Rent
1 Bedroom Chalet for Rent in Muscat Halban,Halban,45 OMR,80.0,Sq. M.,For Rent
Studio flat for rent,Al Khuwair,190 OMR,80.0,Sq. M.,For Rent
Wherehouse in Khazean city  مستودع في مدينة خزائن استخدام صناعي ولوجستي,Barka,"2,100 OMR",700.0,Sq. M.,For Rent
1500 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,Sohar,100 OMR,1500.0,Sq. M.,For Rent
معرض للإيجار صحار سوق الهمبار,Sohar,600 OMR,1300.0,Sq. M.,For Rent
Exquisite Luxury Apartment for Rent in RUWI opposite star cinema,Ruwi,145 OMR,200.0,Sq. M.,For Rent
Brand-New Comfort – Fully Furnished Apartment in Al Khuwair with New Unused  Appliances,Al Khuwair,225 OMR,300.0,Sq. M.,For Rent
